,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
0,1,1,46.0,0,0,113043,28.5,2.0,0
1,2,1,23.0,0,0,28425,13.0,2.0,0
2,3,1,32.0,0,0,23101293,7.925,2.0,0
3,3,1,26.0,1,0,350025,7.8542,2.0,0
4,3,0,6.0,4,2,347082,31.275,2.0,0
5,1,1,24.0,0,1,17558,247.5208,0.0,0
6,1,1,45.0,0,0,113050,26.55,2.0,0
7,2,1,29.0,1,0,2167,27.7208,0.0,0
8,3,1,30.0,0,0,349216,7.8958,2.0,0
9,1,1,30.0,0,0,19947,35.5,2.0,1
10,2,0,42.0,0,0,236852,13.0,2.0,1
11,3,1,36.0,1,1,345773,24.15,2.0,0
12,2,1,33.0,0,0,1585,12.275,2.0,0
13,3,1,17.0,1,0,350048,7.0542,2.0,0
14,3,1,29.0,0,0,345779,9.5,2.0,1
15,2,0,50.0,0,1,230433,26.0,2.0,1
16,1,0,35.0,1,0,19943,90.0,2.0,1
17,1,0,38.0,0,0,17757,227.525,0.0,1
18,2,1,34.0,0,0,250647,13.0,2.0,0
19,1,0,17.0,1,0,17474,57.0,2.0,1
20,3,0,11.0,4,2,347082,31.275,2.0,0
21,3,1,61.0,0,0,345364,6.2375,2.0,0
22,3,0,30.0,0,0,315084,8.6625,2.0,0
23,2,0,7.0,0,2,13529,26.25,2.0,1
24,3,0,63.0,0,0,4134,9.5875,2.0,1
25,3,1,20.0,0,0,2663,7.2292,0.0,1
26,3,0,30.0,0,2,2668,22.3583,0.0,1
27,3,1,29.0,0,0,7545,9.4833,2.0,0
28,1,1,36.0,1,2,113760,120.0,2.0,1
29,3,1,30.0,0,0,2627,14.4583,0.0,0
30,3,1,50.0,0,0,53594,8.05,2.0,0
31,1,1,27.0,0,2,113503,211.5,0.0,0
32,3,1,30.0,0,0,7076,7.25,2.0,0
33,1,0,33.0,1,0,19928,90.0,1.0,1
34,3,1,30.0,0,0,36209,7.725,1.0,0
35,3,0,30.0,3,1,4133,25.4667,2.0,0
36,3,1,2.0,3,1,349909,21.075,2.0,0
37,2,0,25.0,1,1,237789,30.0,2.0,1
38,1,1,51.0,0,1,17597,61.3792,0.0,0
39,2,0,25.0,0,1,230433,26.0,2.0,1
40,3,1,30.0,0,0,434244,7.25,2.0,0
41,3,1,30.0,0,0,349215,7.8958,2.0,0
42,2,0,24.0,0,0,248747,13.0,2.0,0
43,3,1,18.0,1,1,370129,20.2125,2.0,0
44,1,1,30.0,0,0,19988,30.5,2.0,1
45,3,1,25.0,0,0,392076,7.05,2.0,0
46,2,0,24.0,0,2,250649,14.5,2.0,1
47,3,1,22.0,0,0,350060,7.5208,2.0,0
48,1,1,1.0,1,2,113781,151.55,2.0,1
49,2,0,24.0,1,0,244367,26.0,2.0,1
50,3,0,26.0,0,0,23101282,7.925,2.0,1
51,2,1,34.0,1,0,28664,21.0,2.0,0
52,1,0,21.0,2,2,17608,262.375,0.0,1
53,3,1,30.0,0,0,384461,7.75,1.0,0
54,3,0,30.0,0,0,2626,7.2292,0.0,1
55,3,1,30.0,0,0,315037,8.6625,2.0,0
56,3,0,22.0,0,0,347085,7.775,2.0,1
57,1,0,62.0,0,0,113572,80.0,-1.0,1
58,3,0,18.0,0,0,4138,9.8417,2.0,1
59,1,0,42.0,0,0,17757,227.525,0.0,1
60,2,1,57.0,0,0,219533,12.35,1.0,0
61,3,1,19.0,0,0,,0.0,2.0,0
62,2,0,42.0,1,0,3085,26.0,2.0,1
63,3,1,30.0,0,0,2624,7.225,0.0,0
64,3,0,20.0,0,0,315096,8.6625,2.0,0
65,3,1,34.0,0,0,2683,6.4375,0.0,0
66,3,1,28.0,0,0,345783,9.5,2.0,0
67,3,1,30.0,0,0,2816,8.05,2.0,0
68,3,1,23.0,0,0,349204,7.8958,2.0,0
69,3,1,22.0,0,0,521174,7.25,2.0,0
70,1,1,52.0,0,0,113786,30.5,2.0,1
71,3,0,30.0,0,0,364516,12.475,2.0,1
72,2,1,36.0,0,2,230080,26.0,2.0,0
73,3,1,30.0,0,0,364851,7.75,1.0,0
74,3,1,22.0,0,0,2669,7.2292,0.0,0
75,1,1,50.0,2,0,17611,133.65,2.0,1
76,3,1,27.0,0,0,347089,6.975,2.0,1
77,3,1,22.0,0,0,14973,8.05,2.0,0
78,1,0,51.0,1,0,13502,77.9583,2.0,1
79,2,1,36.0,0,0,17248,10.5,2.0,0
80,2,0,29.0,1,0,228414,26.0,2.0,1
81,1,0,22.0,0,0,113781,151.55,2.0,1
82,1,1,50.0,1,0,17761,106.425,0.0,0
83,2,0,40.0,0,0,31418,13.0,2.0,1
84,3,1,27.0,0,0,315098,8.6625,2.0,1
85,1,1,30.0,0,0,112052,0.0,2.0,0
86,1,1,65.0,0,0,13509,26.55,2.0,0
87,3,1,17.0,0,0,315086,8.6625,2.0,0
88,1,1,28.0,0,0,110564,26.55,2.0,1
89,1,1,4.0,0,2,33638,81.8583,2.0,1
